,location,beds,price,baths,half_baths
458,Null,2,870.0,1,0
459,Null,2,870.0,1,0
460,Null,2,870.0,1,0
461,East,2,870.0,1,0
462,East,2,870.0,1,0
463,East,2,870.0,1,0
464,East,2,870.0,1,0
465,East,2,870.0,1,0
466,East,2,870.0,1,0
467,East,2,870.0,1,0
468,West,1,937.0,1,0
469,West,1,925.0,1,0
470,North,2,875.0,1,1
471,North,2,875.0,1,0
472,North,2,875.0,1,0
473,West,2,462.5,1,0
474,West,2,462.5,1,0
475,Null,2,875.0,1,0
476,Null,2,462.5,1,0
477,Null,2,462.5,1,0
478,West,2,462.5,1,0
479,Null,2,462.5,1,0
480,Null,2,875.0,1,0
481,West,2,462.5,1,0
482,West,2,462.5,1,0
483,Null,1,878.0,1,0
484,Null,2,892.0,1,0
485,East,2,910.0,1,0
486,East,2,880.0,1,0
487,North,1,880.0,1,0
488,North,1,885.0,1,0
489,Null,2,885.0,1,0
490,Null,2,892.5,1,0
491,Null,1,885.0,1,0
492,Null,1,885.9,1,0
493,Null,1,886.0,1,0
494,North,1,890.0,1,0
495,North,1,890.0,1,0
496,North,4,910.0,1,0
497,Null,1,890.0,1,0
498,West,1,890.0,1,0
499,Null,1,896.0,1,0
500,Null,1,898.0,1,0
501,East,1,894.0,1,0
502,East,1,894.0,1,0
503,North,4,907.5,1,0
504,Null,1,895.0,1,0
505,Null,1,895.0,1,0
506,Null,1,895.0,1,0
507,Null,1,895.0,1,0
508,Null,1,895.0,1,0
509,Null,1,895.0,1,0
510,Null,2,574.5,1,0
511,Null,1,899.0,1,0
512,North,2,899.0,1,0
513,East,2,900.0,1,0
514,East,2,900.0,1,0
515,East,2,454.5,1,0
516,East,2,900.0,1,0
517,East,2,900.0,1,0
518,East,2,900.0,1,0
519,East,2,900.0,1,0
520,Null,2,900.0,1,0
521,West,2,900.0,1,0
522,West,1,900.0,1,0
523,East,2,900.0,1,0
524,Null,2,900.0,1,0
525,Null,2,925.0,1,0
526,Null,2,900.0,1,0
527,East,2,900.0,1,0
528,Null,2,900.0,1,0
529,North,2,900.0,1,0
530,North,2,900.0,1,0
531,North,2,900.0,1,0
532,West,1,900.0,1,0
533,West,2,900.0,1,0
534,Null,1,902.9,1,0
535,North,4,917.5,1,0
536,West,0,905.0,1,0
537,North,1,910.0,1,0
538,Null,1,913.0,1,0
539,East,2,920.0,1,0
540,East,2,920.0,1,0
541,East,2,920.0,1,0
542,East,2,920.0,1,0
543,East,2,920.0,1,0
544,East,1,920.0,1,0
545,West,1,920.0,1,0
546,North,1,920.0,1,0
547,Null,1,925.0,1,0
548,East,2,925.0,1,0
549,North,2,925.0,1,0
550,East,2,925.0,1,0
551,East,2,925.0,1,0
552,East,2,925.0,1,0
553,East,2,925.0,1,0
554,East,2,925.0,1,0
555,East,2,925.0,1,0
556,East,2,925.0,1,0
557,East,2,925.0,1,0
558,North,1,935.0,1,0
559,North,1,935.0,1,0
560,Null,2,939.0,1,0
561,East,2,940.0,1,0
562,Null,2,940.0,1,0
563,West,2,945.0,1,0
564,West,2,945.0,1,0
565,West,2,945.0,1,0
566,West,2,945.0,1,0
567,West,2,945.0,1,0
568,West,2,945.0,1,0
569,West,2,945.0,1,0
570,West,2,945.0,1,0
571,West,2,945.0,1,0
572,West,1,945.0,1,0
573,West,1,945.0,1,0
574,West,2,945.0,1,0
575,West,2,945.0,1,0
576,West,2,945.0,1,0
577,West,1,950.0,1,0
578,West,1,950.0,1,0
579,North,2,950.0,1,0
580,East,2,950.0,1,0
581,East,2,950.0,1,0
582,East,2,950.0,1,0
