,url_list
293,https://www.rentcollegepads.com/city/columbus-oh/listings/166-e-frambes-ave-47642
294,https://www.rentcollegepads.com/city/columbus-oh/listings/47-e-12th-ave-47667
295,https://www.rentcollegepads.com/city/columbus-oh/listings/130-w-9th-ave-32378
296,https://www.rentcollegepads.com/city/columbus-oh/listings/100-e-frambes-ave-50280
297,https://www.rentcollegepads.com/city/columbus-oh/listings/55-e-norwich-ave-50288
298,https://www.rentcollegepads.com/city/columbus-oh/listings/105-chittenden-ave-16142
299,https://www.rentcollegepads.com/city/columbus-oh/listings/88-frambes-ave-16278
300,https://www.rentcollegepads.com/city/columbus-oh/listings/100-w-oakland-ave-16075
301,https://www.rentcollegepads.com/city/columbus-oh/listings/244-king-ave-47583
302,https://www.rentcollegepads.com/city/columbus-oh/listings/122-w-northwood-ave-47499
303,https://www.rentcollegepads.com/city/columbus-oh/listings/258-e-19th-ave-47646
304,https://www.rentcollegepads.com/city/columbus-oh/listings/186-e-11th-ave-47503
305,https://www.rentcollegepads.com/city/columbus-oh/listings/5-e-northwood-ave-16175
306,https://www.rentcollegepads.com/city/columbus-oh/listings/1483-belmont-62292
307,https://www.rentcollegepads.com/city/columbus-oh/listings/265-e-11th-ave-32529
308,https://www.rentcollegepads.com/city/columbus-oh/listings/31-chittenden-ave-47612
309,https://www.rentcollegepads.com/city/columbus-oh/listings/366-368-king-ave.-columbus-oh-43201-47591
310,https://www.rentcollegepads.com/city/columbus-oh/listings/holly-avenue-buildings-32116
311,https://www.rentcollegepads.com/city/columbus-oh/listings/104-e-12th-ave-47617
312,https://www.rentcollegepads.com/city/columbus-oh/listings/222-e-16th-ave-32496
313,https://www.rentcollegepads.com/city/columbus-oh/listings/46-48-w.-patterson-19189
314,https://www.rentcollegepads.com/city/columbus-oh/listings/132-140-w-lane-ave-16223
315,https://www.rentcollegepads.com/city/columbus-oh/listings/70-72-e-patterson-19191
316,https://www.rentcollegepads.com/city/columbus-oh/listings/243.5-e.-19th-ave-47615
317,https://www.rentcollegepads.com/city/columbus-oh/listings/ohio-stater-16252
318,https://www.rentcollegepads.com/city/columbus-oh/listings/1965-indianola-ave-32509
319,https://www.rentcollegepads.com/city/columbus-oh/listings/31-w-10th-ave-47627
320,https://www.rentcollegepads.com/city/columbus-oh/listings/214-w-norwich-ave-50240
321,https://www.rentcollegepads.com/city/columbus-oh/listings/1510-hamlet-st-32542
322,https://www.rentcollegepads.com/city/columbus-oh/listings/88-mcmillen-ave-47605
323,https://www.rentcollegepads.com/city/columbus-oh/listings/1495-1497-michigan-ave-16382
324,https://www.rentcollegepads.com/city/columbus-oh/listings/250-252-w-lane-ave-16269
325,https://www.rentcollegepads.com/city/columbus-oh/listings/180-188-w-patterson-ave-16126
326,https://www.rentcollegepads.com/city/columbus-oh/listings/the-86-on-lane-35678
327,https://www.rentcollegepads.com/city/columbus-oh/listings/1545-indianola-ave-54339
328,https://www.rentcollegepads.com/city/columbus-oh/listings/152-e-12th-ave-47666
329,https://www.rentcollegepads.com/city/columbus-oh/listings/105-107-e-norwich-ave-16204
330,https://www.rentcollegepads.com/city/columbus-oh/listings/242-e-18th-ave-32492
331,https://www.rentcollegepads.com/city/columbus-oh/listings/80-w-norwich-ave-32248
332,https://www.rentcollegepads.com/city/columbus-oh/listings/65-e-frambes-ave-51526
333,https://www.rentcollegepads.com/city/columbus-oh/listings/885-dennison-ave-43369
334,https://www.rentcollegepads.com/city/columbus-oh/listings/47-e-17th-ave-16443
335,https://www.rentcollegepads.com/city/columbus-oh/listings/352-354-king-ave-columbus-oh-43201-47587
