location_name_shorthand,beds,baths,price,Furnished,Parking,Laundry
Null,3,2.5,1949,Yes,Yes,building
Null,3,2.5,1949,Yes,Yes,building
Null,3,2,1649,Yes,Yes,building
Null,3,2,1649,Yes,No,building
Null,3,2,1649,Yes,Yes,building
Null,3,2,1649,Yes,Yes,building
Null,2,1,1499,Yes,Yes,building
Null,2,1,1499,Yes,No,building
Null,2,1,1499,Yes,Yes,building
Null,2,1,1499,Yes,Yes,building
Null,2,2,1300,No,No,unit
East,5,1,2000,No,Yes,building
East,5,1,2050,No,Yes,building
East,5,1,2060,No,Yes,building
West,4,3,2200,No,No,
East,6,2,0,No,No,
East,4,3,0,No,No,
East,5,3,0,No,No,
East,6,3,575,No,No,
East,4,2,0,No,No,
East,6,2,0,No,No,
East,8,3,0,No,No,
East,10,3,0,No,No,
West,4,1.5,2080,No,No,unit
Null,2,1,0,No,No,building
Null,4,1,0,No,No,building
West,4,1,1620,No,No,unit
West,4,1,1620,No,No,unit
West,4,1,1750,No,No,unit
West,4,1,1620,No,No,unit
Null,3,1,0,No,No,
Null,2,1,0,No,Yes,
Null,19,1,0,No,No,
East,8,3,0,No,No,
East,9,3,0,No,No,
East,4,1,1800,No,No,
East,4,1,1800,No,No,
East,4,1,1950,No,No,
East,4,1,1950,No,No,
East,4,1,1995,No,No,
Null,2,1,0,No,No,unit
Null,4,1,0,No,No,unit
Null,3,1,400,No,No,unit
Null,2,1,0,No,No,
East,5,2,2600,No,No,unit
East,6,1,525,No,No,
West,4,2,2000,No,No,building
East,4,2,0,No,No,
East,5,2,0,No,No,
East,4,1,1985,No,No,building
East,4,1,2005,No,No,building
East,4,1,2105,No,No,building
East,4,1,1985,No,No,building
East,5,2,2800,No,No,
Null,3,1,0,No,No,
West,2,1,1100,No,No,building
West,2,1,1100,No,No,building
West,2,1,1200,No,No,building
West,2,1,799,No,No,building
West,2,1,1100,No,No,building
East,1,1,665,No,Yes,unit
East,1,1,665,No,Yes,unit
East,1,1,665,No,Yes,unit
East,1,1,665,No,Yes,unit
East,1,1,665,No,Yes,unit
East,1,1,665,No,Yes,unit
East,2,1,460,No,No,
East,4,1,0,No,No,
Null,2,1,1199,No,No,building
East,1,1,675,No,No,building
East,3,2,1245,Yes,No,building
West,6,1,0,No,No,
West,1,1,0,No,No,
Null,3,1,0,No,No,
North,4,1,1200,No,No,building
West,8,2,600,No,No,
West,5,1,575,No,No,
Null,4,2,0,No,No,
Null,5,2,500,No,No,
East,5,1,1995,No,No,unit
East,5,1,1955,No,No,unit
East,5,1,1955,No,No,unit
East,5,1,2060,No,No,unit
East,5,1,2060,No,No,unit
East,5,1,2160,No,No,unit
East,5,1,2160,No,No,unit
West,15,1,0,No,No,
Null,3,1.5,1500,No,No,unit
West,1,1,729,No,No,building
West,1,1,729,No,No,building
West,1,1,729,No,No,building
Null,1,1,849,No,No,
Null,1,1,849,No,No,
Null,1,1,849,No,No,
Null,1,1,699,No,No,
Null,1,1,699,No,No,
Null,1,1,849,No,No,
Null,1,1,849,No,No,
Null,1,1,699,No,No,
East,4,2,0,No,Yes,unit
East,1,1,0,No,No,
East,5,2,2475,No,Yes,unit
East,5,1,2475,No,Yes,unit
East,5,1,2500,No,Yes,unit
East,5,1,2625,No,Yes,unit
