location,beds,price,baths,location_sector,parking,laundry,furnished
East,2,860,1,Central,No,building,No
Null,1,860,1,Northwest,Yes,building,Yes
North,1,860,1,Northwest,No,None,No
North,1,860,1,Northwest,No,None,No
West,1,860,1,Southwest,No,unit,No
West,1,860,1,Southwest,No,unit,No
West,1,860,1,Southwest,No,unit,No
Null,2,860,1,Northwest,Yes,None,Yes
Null,1,865,1,Southwest,No,building,No
West,1,865,1,Northwest,No,building,No
Null,2,895,1,University,No,building,No
Null,1,960,1,Southeast,Yes,building,Yes
North,1,869,1,Southeast,Yes,building,Yes
North,1,869,1,Southeast,Yes,building,Yes
Null,1,870,1,None,Yes,building,Yes
Null,2,870,1,Southeast,Yes,building,Yes
Null,2,870,1,Southeast,Yes,building,Yes
Null,2,870,1,Southeast,Yes,building,Yes
Null,2,870,1,Southeast,Yes,building,Yes
Null,2,870,1,Southeast,Yes,building,Yes
Null,2,870,1,Southeast,Yes,building,Yes
Null,2,870,1,Southeast,Yes,building,Yes
East,2,870,1,Central,No,None,No
East,2,870,1,Central,No,None,No
East,2,870,1,Central,No,None,No
East,2,870,1,Central,No,None,No
West,1,799,1,Northeast,No,building,No
West,1,999,1,Northeast,No,building,No
West,1,975,1,Southwest,Yes,building,Yes
North,2,875,1,Northwest,No,building,No
North,2,875,1,Northeast,No,unit,No
North,2,875,1,Northeast,No,unit,No
West,2,1050,1,Grandview,No,building,No
West,2,1050,1,Grandview,No,building,No
Null,2,875,1,Grandview,No,building,No
Null,2,1050,1,Grandview,No,building,No
Null,2,1050,1,Grandview,No,building,No
West,2,1050,1,Grandview,No,building,No
Null,2,1050,1,Grandview,No,building,No
Null,2,875,1,Grandview,No,building,No
West,2,1050,1,Grandview,No,building,No
West,2,875,1,Victorian,No,building,No
Null,1,878,1,None,Yes,None,Yes
Null,2,905,1,University,No,building,No
North,1,880,1,Southeast,No,unit,No
North,1,885,1,Southeast,No,unit,No
East,2,940,1,Northwest,No,building,No
East,2,880,1,Northeast,No,unit,No
North,1,880,1,Northwest,No,building,No
Null,2,885,1,Southwest,No,building,No
Null,2,900,1,University,No,building,No
Null,1,885,1,Northwest,Yes,building,Yes
Null,1,885.95,1,Northwest,Yes,building,Yes
Null,1,886,1,Northwest,Yes,building,Yes
North,1,890,1,Southeast,No,unit,No
North,1,890,1,Southeast,No,unit,No
North,4,3720,4,Southeast,No,unit,No
Null,1,890,1,Northeast,No,building,No
Null,1,900,1,Northwest,Yes,unit,Yes
Null,1,904,1,Northwest,Yes,building,Yes
East,1,894,1,None,Yes,unit,Yes
East,1,894,1,None,Yes,unit,Yes
North,4,3680,4,Southeast,No,unit,No
Null,1,895,1,Southeast,No,building,No
Null,1,895,1,Southeast,No,building,No
Null,1,895,1,Southwest,No,building,No
Null,1,895,1,Southwest,No,building,No
Null,1,895,1,Southwest,No,None,No
Null,1,895,1,None,Yes,building,Yes
East,2,899,1,Northeast,No,unit,No
Null,2,899,1,Central,No,None,No
East,2,899,1,Central,No,building,No
North,2,899,1,Central,No,None,No
North,2,899,1,Northeast,No,None,No
Null,2,1250,1,Northwest,No,unit,No
Null,1,899,1,University,Yes,building,Yes
Null,2,900,1,Central,No,building,No
West,2,900,1,Southwest,No,None,No
West,1,900,1,Southwest,No,unit,No
East,2,900,1,Northeast,No,None,No
North,2,900,1,Northeast,No,unit,No
East,2,900,1,Central,No,building,No
East,2,900,1,Central,No,building,No
East,2,9,1,Central,No,building,No
East,2,900,1,Central,No,building,No
East,2,900,1,Central,No,building,No
East,2,900,1,Central,No,building,No
East,2,900,1,Central,No,building,No
Null,2,900,1,Northeast,No,None,No
Null,2,950,1,Central,No,building,No
Null,2,900,1,Northeast,No,None,No
East,2,900,1,Central,No,unit,No
Null,2,900,1,Central,No,None,No
North,2,900,1,Central,No,building,No
North,2,900,1,Central,No,building,No
North,2,900,1,Central,No,building,No
West,1,900,1,Northwest,No,building,No
West,2,900,1,Clintonville,No,building,No
Null,1,902.95,1,Northwest,Yes,building,Yes
North,4,3720,4,Southeast,No,unit,No
North,4,3836,4,Southeast,Yes,unit,Yes
North,1,910,1,Northwest,No,None,No
Null,1,913,1,Northwest,Yes,building,Yes
East,2,920,1,Central,Yes,building,Yes
East,2,920,1,Central,Yes,building,Yes
East,2,920,1,Central,Yes,building,Yes
East,2,920,1,Central,Yes,building,Yes
East,2,920,1,Central,No,building,No
East,1,920,1,Central,No,None,No
West,1,920,1,Northwest,No,None,No
North,1,920,1,Northwest,No,building,No
East,2,925,1,Central,No,None,No
Null,1,925,1,Southeast,No,unit,No
East,2,925,1,Northeast,No,building,No
North,2,925,1,Northeast,No,unit,No
East,2,925,1,Central,No,None,No
East,2,925,1,Central,No,None,No
East,2,925,1,Central,No,None,No
East,2,925,1,Central,No,None,No
East,2,925,1,Central,No,None,No
East,2,925,1,Central,No,None,No
East,2,925,1,Central,No,None,No
North,1,935,1,Southwest,No,unit,No
North,1,935,1,Southwest,No,unit,No
Null,2,939,1,Clintonville,No,building,No
East,2,940,1,Northeast,No,None,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,1,945,1,Northwest,No,building,No
West,1,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
West,2,945,1,Northwest,No,building,No
North,2,950,1,Northeast,No,unit,No
East,2,950,1,Northeast,No,unit,No
North,2,950,1,Northeast,No,None,No
Null,2,950,1,Central,No,unit,No
North,2,950,1,Northeast,No,unit,No
Null,2,950,1,Central,No,unit,No
Null,2,950,1,Southeast,No,unit,No
North,2,950,1,Northeast,No,unit,No
West,1,950,1,Southwest,No,building,No
West,1,950,1,Southwest,No,building,No
